# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 72
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 02 22:52:37 GMT-04:00 2014
# Player 1: Player-0, 'random', running on 142.157.168.42
# Player 2: Player-1, '260449697', running on 142.157.168.42
# Player 3: Player-2, '260449697', running on 142.157.168.42
# Player 4: Player-3, 'random', running on 142.157.168.42
START Player-0 random
START Player-1 260449697
START Player-2 260449697
START Player-3 random
0 (1,1) (3,3)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
